R device_connect OK
R device_subscribe gsr OK
E4_Bvp 1502566019.60887 -0.02696514
E4_Bvp 1502566019.6245 -2.523231
E4_Bvp 1502566019.64013 -2.214675
E4_Bvp 1502566019.65575 0.750946
E4_Bvp 1502566019.67138 4.686904
E4_Bvp 1502566019.687 7.391941
E4_Bvp 1502566019.70263 7.294224
E4_Bvp 1502566019.71825 4.433739
E4_Bvp 1502566019.73388 0.3361249
E4_Bvp 1502566019.74951 -2.728679
E4_Bvp 1502566019.76513 -3.106367
E4_Bvp 1502566019.78076 -0.6102428
E4_Bvp 1502566019.79638 3.30461
E4_Bvp 1502566019.81201 6.385111
E4_Bvp 1502566019.82763 6.823787
E4_Bvp 1502566019.84326 4.304666
E4_Bvp 1502566019.85889 0.1841922
E4_Bvp 1502566019.87451 -3.249997
E4_Bvp 1502566019.89014 -4.12249
E4_Bvp 1502566019.90576 -2.045575
E4_Bvp 1502566019.92139 1.614533
E4_Bvp 1502566019.93701 4.552155
E4_Bvp 1502566019.95264 4.865651
E4_Bvp 1502566019.96827 2.180359
E4_Bvp 1502566019.98389 -2.088233
E4_Bvp 1502566019.99952 -5.578076
E4_Bvp 1502566020.01514 -6.324599
E4_Bvp 1502566020.03077 -3.993313
E4_Bvp 1502566020.04639 -0.0171448
E4_Bvp 1502566020.06202 3.207716
E4_Bvp 1502566020.07765 3.740816
E4_Bvp 1502566020.09327 1.170437
E4_Bvp 1502566020.1089 -3.109883
E4_Bvp 1502566020.12452 -6.774795
E4_Bvp 1502566020.14015 -7.897124
E4_Bvp 1502566020.15577 -5.974137
E4_Bvp 1502566020.1714 -2.240427
E4_Bvp 1502566020.18703 1.090057
E4_Bvp 1502566020.20265 2.132573
E4_Bvp 1502566020.21828 0.3958118
E4_Bvp 1502566020.2339 -2.992092
E4_Bvp 1502566020.24953 -5.935439
E4_Bvp 1502566020.26515 -6.694309
E4_Bvp 1502566020.28078 -4.913464
E4_Bvp 1502566020.29641 -1.779932
E4_Bvp 1502566020.31203 0.6375327
E4_Bvp 1502566020.32766 0.6890578
E4_Bvp 1502566020.34328 -1.818825
E4_Bvp 1502566020.35891 -5.464571
E4_Bvp 1502566020.37453 -8.034585
E4_Bvp 1502566020.39016 -7.80963
E4_Bvp 1502566020.40579 -4.662917
E4_Bvp 1502566020.42141 -0.1920972
E4_Bvp 1502566020.43704 3.205565
E4_Bvp 1502566020.45266 3.667675
E4_Bvp 1502566020.46829 0.9824657
E4_Bvp 1502566020.48391 -3.252505
E4_Bvp 1502566020.49954 -6.575759
E4_Bvp 1502566020.51517 -7.04136
E4_Bvp 1502566020.53079 -4.375833
E4_Bvp 1502566020.54642 -0.141613
E4_Bvp 1502566020.56204 3.125995
E4_Bvp 1502566020.57767 3.44337
E4_Bvp 1502566020.59329 0.458497
E4_Bvp 1502566020.60892 -4.308628
E4_Bvp 1502566020.62455 -8.306526
E4_Bvp 1502566020.64017 -9.396999
E4_Bvp 1502566020.6558 -7.049607
E4_Bvp 1502566020.67142 -2.615816
E4_Bvp 1502566020.68705 1.437108
E4_Bvp 1502566020.70267 2.962378
E4_Bvp 1502566020.7183 1.306126
E4_Bvp 1502566020.73393 -2.290095
E4_Bvp 1502566020.74955 -5.465686
E4_Bvp 1502566020.76518 -6.128102
E4_Bvp 1502566020.7808 -3.671919
E4_Bvp 1502566020.79643 0.6209908
E4_Bvp 1502566020.81205 4.289679
E4_Bvp 1502566020.82768 5.147132
E4_Bvp 1502566020.84331 2.550557
E4_Bvp 1502566020.85893 -2.142255
E4_Bvp 1502566020.87456 -6.367787
E4_Bvp 1502566020.89018 -7.767688
E4_Bvp 1502566020.90581 -5.532949
E4_Bvp 1502566020.92143 -0.944068
E4_Bvp 1502566020.93706 3.471779
E4_Bvp 1502566020.95269 5.310457
E4_Bvp 1502566020.96831 3.722607
E4_Gsr 1502566177.916 0
E4_Gsr 1502566178.166 0
E4_Gsr 1502566178.416 0
E4_Gsr 1502566178.666 0
E4_Gsr 1502566178.916 0
E4_Gsr 1502566179.166 0
E4_Bvp 1502566020.98394 -0.1436619
E4_Bvp 1502566020.99956 -3.825484
E4_Bvp 1502566021.01519 -5.033063
E4_Bvp 1502566021.03081 -2.956386
E4_Bvp 1502566021.04644 1.212116
E4_Bvp 1502566021.06207 5.02845
E4_Bvp 1502566021.07769 6.238465
E4_Bvp 1502566021.09332 4.079717
E4_Bvp 1502566021.10894 -0.2291977
E4_Bvp 1502566021.12457 -4.222008
E4_Bvp 1502566021.14019 -5.591499
E4_Bvp 1502566021.15582 -3.55522
E4_Bvp 1502566021.17145 0.6922456
E4_Bvp 1502566021.18707 4.703926
E4_Bvp 1502566021.2027 6.189053
E4_Bvp 1502566021.21832 4.371688
E4_Bvp 1502566021.23395 0.4029312
E4_Bvp 1502566021.24957 -3.315296
E4_Bvp 1502566021.2652 -4.562448
E4_Bvp 1502566021.28083 -2.581385
E4_Bvp 1502566021.29645 1.488497
E4_Bvp 1502566021.31208 5.345441
E4_Bvp 1502566021.3277 6.818919
E4_Bvp 1502566021.34333 5.201627
E4_Bvp 1502566021.35895 1.581976
E4_Bvp 1502566021.37458 -1.862746
E4_Bvp 1502566021.39021 -3.086073
E4_Bvp 1502566021.40583 -1.417987
E4_Bvp 1502566021.42146 2.086339
E4_Bvp 1502566021.43708 5.306167
